PT_ID,SCHOOL,ZONE,CLUSTER,GROUP_ID,PRI,SEC,n_STALLS,n_PASS,TIER_SCORE,TIER,latitude,longitude
190,QUEENSTOWN PRIMARY SCHOOL,SOUTH,S2,16,1,0,7,1,0.142857143,E,1.2960266,103.8078385
191,QUEENSTOWN SECONDARY SCHOOL,SOUTH,S2,16,0,1,6,2,0.333333333,D,1.2932897,103.8132567
192,QUEENSWAY SECONDARY SCHOOL,SOUTH,S2,16,0,1,11,6,0.545454545,C,1.3004452,103.8019077
193,TANGLIN SECONDARY SCHOOL,SOUTH,S2,16,0,1,4,3,0.75,B,1.309941,103.757828
194,ANGLO-CHINESE SCHOOL (BARKER ROAD),SOUTH,S3,17,0,1,10,0,0,E,1.3197094,103.8356614
195,ANGLO-CHINESE SCHOOL (PRI),SOUTH,S3,17,1,0,10,3,0,E,1.31875235,103.8350769
196,BEATTY SECONDARY SCHOOL,SOUTH,S3,17,0,1,10,2,0.3,D,1.3417851,103.8522734
197,CHIJ PRIMARY SCHOOL (TOA PAYOH),SOUTH,S3,17,1,0,6,3,0.5,C,1.3331269,103.842403
198,CHIJ SECONDARY SCHOOL (TOA PAYOH),SOUTH,S3,17,0,1,11,5,0.454545455,D,1.3326721,103.8428466
199,FIRST TOA PAYOH PRIMARY SCHOOL,SOUTH,S3,17,1,0,5,0,0,E,1.3404649,103.8558675
200,KHENG CHENG SCHOOL,SOUTH,S3,17,1,0,8,2,0.25,D,1.33703365,103.8474423
201,MARYMOUNT CONVENT SCHOOL,SOUTH,S3,17,1,0,5,3,0.5,C,1.3402824,103.8397563
202,NATIONAL JUNIOR COLLEGE (JUNIOR HIGH),SOUTH,S3,17,0,1,12,3,0.25,D,1.330727,103.8044167
203,PEI CHUN PUBLIC SCHOOL,SOUTH,S3,17,1,0,7,3,0.5,C,1.3362704,103.855697
204,RAFFLES GIRLS' PRIMARY SCHOOL,SOUTH,S3,17,1,0,7,4,0.571428571,C,1.33026845,103.806127
205,ST. MARGARET'S SECONDARY SCHOOL,SOUTH,S3,17,0,1,10,6,0.6,C,1.32043285,103.8096835
206,ALEXANDRA PRIMARY SCHOOL,SOUTH,S4,18,1,0,5,1,0.2,E,1.2913617,103.82409
207,CANTONMENT PRIMARY SCHOOL,SOUTH,S4,18,1,0,5,1,0.2,E,1.2758142,103.8398884
208,CHIJ (KELLOCK),SOUTH,S4,18,1,0,5,2,0.4,D,1.274664,103.8280551
209,CHIJ ST. THERESA'S CONVENT,SOUTH,S4,18,0,1,8,3,0.375,D,1.27614885,103.8222477
210,GAN ENG SENG PRIMARY SCHOOL,SOUTH,S4,18,1,0,7,3,0.428571429,D,1.28587615,103.8152417
211,GAN ENG SENG SCHOOL,SOUTH,S4,18,0,1,9,5,0.555555556,C,1.2894326,103.8236379
212,HONG WEN SCHOOL,SOUTH,S4,18,1,0,7,2,0.285714286,D,1.32178305,103.8575269
213,NORTHLIGHT SCHOOL,SOUTH,S4,18,0,1,6,2,0.333333333,D,1.31946105,103.8556118
214,OUTRAM SECONDARY SCHOOL,SOUTH,S4,18,0,1,7,2,0.375,D,1.28627625,103.8371267
215,RADIN MAS PRIMARY SCHOOL,SOUTH,S4,18,1,0,7,3,0.571428571,C,1.2750442,103.8240239
